Amount,Use Chip,Merchant City,Merchant State,MCC,Is Fraud?,Amount_Rupiah,date
156.93,Swipe Transaction,La Verne,CA,5311,No,2589345.0,2002-10-28
2.3,Swipe Transaction,La Verne,CA,5499,No,37950.0,2002-10-28
9.76,Swipe Transaction,Mira Loma,CA,5541,No,161040.0,2002-10-29
29.95,Swipe Transaction,Monterey Park,CA,7832,No,494175.0,2002-10-29
77.85,Swipe Transaction,Monterey Park,CA,5411,No,1284525.0,2002-10-30
35.92,Swipe Transaction,La Verne,CA,5912,No,592680.0,2002-10-30
135.6,Swipe Transaction,La Verne,CA,5311,No,2237400.0,2002-10-31
37.63,Swipe Transaction,Monterey Park,CA,5942,No,620895.0,2002-10-31
96.0,Swipe Transaction,Mira Loma,CA,5541,No,1584000.0,2002-10-31
-96.0,Swipe Transaction,Mira Loma,CA,5541,No,-1584000.0,2002-10-31
61.08,Swipe Transaction,Mira Loma,CA,5541,No,1007820.0,2002-10-31
24.67,Swipe Transaction,La Verne,CA,7230,No,407055.0,2002-11-01
46.1,Swipe Transaction,Monterey Park,CA,5942,No,760650.0,2002-11-01
16.76,Swipe Transaction,Mira Loma,CA,5541,No,276540.0,2002-11-01
161.51,Swipe Transaction,Mira Loma,CA,4814,No,2664915.0,2002-11-01
132.9,Swipe Transaction,La Verne,CA,5311,No,2192850.0,2002-11-02
30.5,Swipe Transaction,Monterey Park,CA,5411,No,503250.0,2002-11-02
12.09,Swipe Transaction,La Verne,CA,5300,No,199485.0,2002-11-02
150.08,Swipe Transaction,La Verne,CA,5300,No,2476320.0,2002-11-03
180.58,Swipe Transaction,La Verne,CA,5912,No,2979570.0,2002-11-03
55.61,Swipe Transaction,La Verne,CA,5300,No,917565.0,2002-11-04
75.72,Swipe Transaction,La Verne,CA,5311,No,1249380.0,2002-11-04
77.41,Swipe Transaction,La Verne,CA,5814,No,1277265.0,2002-11-04
148.01,Swipe Transaction,Monterey Park,CA,5411,No,2442165.0,2002-11-05
106.72,Swipe Transaction,Mira Loma,CA,5541,No,1760880.0,2002-11-05
28.39,Online Transaction,ONLINE,Unknown,4814,No,468435.0,2002-11-05
140.86,Swipe Transaction,Monterey Park,CA,5411,No,2324190.0,2002-11-07
116.86,Swipe Transaction,La Verne,CA,5300,No,1928190.0,2002-11-07
122.64,Swipe Transaction,La Verne,CA,5311,No,2023560.0,2002-11-08
42.01,Swipe Transaction,La Verne,CA,5912,No,693165.0,2002-11-08
167.0,Swipe Transaction,La Verne,CA,5912,No,2755500.0,2002-11-09
168.53,Swipe Transaction,La Verne,CA,4900,No,2780745.0,2002-11-09
85.91,Swipe Transaction,Mira Loma,CA,5812,No,1417515.0,2002-11-09
152.14,Swipe Transaction,Mira Loma,CA,5541,No,2510310.0,2002-11-10
40.78,Swipe Transaction,Monterey Park,CA,5411,No,672870.0,2002-11-10
107.5,Swipe Transaction,La Verne,CA,4900,No,1773750.0,2002-11-10
59.52,Swipe Transaction,La Verne,CA,5499,No,982080.0,2002-11-10
-91.0,Swipe Transaction,La Verne,CA,5499,No,-1501500.0,2002-11-10
91.0,Swipe Transaction,La Verne,CA,5499,No,1501500.0,2002-11-10
-98.0,Swipe Transaction,La Verne,CA,5499,No,-1617000.0,2002-11-10
98.0,Swipe Transaction,La Verne,CA,5499,No,1617000.0,2002-11-10
52.4,Swipe Transaction,La Verne,CA,5499,No,864600.0,2002-11-10
130.48,Swipe Transaction,La Verne,CA,5411,No,2152920.0,2002-11-11
126.32,Swipe Transaction,La Verne,CA,5311,No,2084280.0,2002-11-11
63.9,Swipe Transaction,La Verne,CA,5812,No,1054350.0,2002-11-13
151.49,Swipe Transaction,La Verne,CA,5912,No,2499585.0,2002-11-14
113.32,Swipe Transaction,La Verne,CA,5411,No,1869780.0,2002-11-14
39.18,Swipe Transaction,Monterey Park,CA,5942,No,646470.0,2002-11-15
66.98,Swipe Transaction,La Verne,CA,7538,No,1105170.0,2002-11-15
58.03,Swipe Transaction,Ontario,CA,5211,No,957495.0,2002-11-15
186.41,Swipe Transaction,La Verne,CA,5300,No,3075765.0,2002-11-15
133.55,Swipe Transaction,La Verne,CA,5311,No,2203575.0,2002-11-16
59.74,Swipe Transaction,La Verne,CA,7538,No,985710.0,2002-11-16
157.96,Swipe Transaction,La Verne,CA,5912,No,2606340.0,2002-11-17
95.4,Swipe Transaction,La Verne,CA,5814,No,1574100.0,2002-11-17
99.92,Swipe Transaction,La Verne,CA,5912,No,1648680.0,2002-11-18
127.33,Swipe Transaction,Mira Loma,CA,5541,No,2100945.0,2002-11-18
134.57,Swipe Transaction,La Verne,CA,5300,No,2220405.0,2002-11-19
52.94,Swipe Transaction,Monterey Park,CA,5310,No,873510.0,2002-11-19
95.76,Swipe Transaction,La Verne,CA,5812,No,1580040.0,2002-11-19
83.17,Swipe Transaction,La Verne,CA,5311,No,1372305.0,2002-11-20
54.26,Swipe Transaction,La Verne,CA,5912,No,895290.0,2002-11-20
61.02,Swipe Transaction,La Verne,CA,7538,No,1006830.0,2002-11-20
131.45,Swipe Transaction,La Verne,CA,5411,No,2168925.0,2002-11-22
115.91,Swipe Transaction,La Verne,CA,5311,No,1912515.0,2002-11-22
65.92,Swipe Transaction,La Verne,CA,7538,No,1087680.0,2002-11-22
38.99,Swipe Transaction,La Verne,CA,5912,No,643335.0,2002-11-23
129.07,Swipe Transaction,Monterey Park,CA,5411,No,2129655.0,2002-11-23
37.23,Swipe Transaction,La Verne,CA,5912,No,614295.0,2002-11-23
228.92,Swipe Transaction,La Verne,CA,8011,No,3777180.0,2002-11-23
141.77,Swipe Transaction,La Verne,CA,5912,No,2339205.0,2002-11-24
51.96,Swipe Transaction,La Verne,CA,5814,No,857340.0,2002-11-24
143.06,Swipe Transaction,Mira Loma,CA,5541,No,2360490.0,2002-11-25
50.68,Swipe Transaction,Monterey Park,CA,5942,No,836220.0,2002-11-25
-99.0,Swipe Transaction,La Verne,CA,5499,No,-1633500.0,2002-11-25
69.31,Swipe Transaction,La Verne,CA,5499,No,1143615.0,2002-11-25
99.0,Swipe Transaction,La Verne,CA,5499,No,1633500.0,2002-11-25
99.36,Swipe Transaction,Diamond Bar,CA,5719,No,1639440.0,2002-11-25
126.81,Swipe Transaction,La Verne,CA,5300,No,2092365.0,2002-11-26
379.73,Swipe Transaction,Calexico,CA,3066,No,6265545.0,2002-11-26
148.42,Swipe Transaction,La Verne,CA,5311,No,2448930.0,2002-11-27
138.59,Swipe Transaction,La Verne,CA,5912,No,2286735.0,2002-11-27
107.15,Swipe Transaction,La Verne,CA,5812,No,1767975.0,2002-11-27
81.43,Swipe Transaction,La Verne,CA,5311,No,1343595.0,2002-11-28
35.6,Swipe Transaction,Monterey Park,CA,5411,No,587400.0,2002-11-28
173.03,Swipe Transaction,La Verne,CA,5912,No,2854995.0,2002-11-29
38.76,Swipe Transaction,Monterey Park,CA,5411,No,639540.0,2002-11-29
24.55,Swipe Transaction,La Verne,CA,5912,No,405075.0,2002-11-30
104.81,Swipe Transaction,La Verne,CA,5300,No,1729365.0,2002-11-30
75.86,Swipe Transaction,Monterey Park,CA,5411,No,1251690.0,2002-12-01
128.63,Swipe Transaction,La Verne,CA,5311,No,2122395.0,2002-12-01
147.54,Swipe Transaction,Monterey Park,CA,5411,No,2434410.0,2002-12-02
-50.0,Swipe Transaction,La Verne,CA,5499,No,-825000.0,2002-12-02
66.41,Swipe Transaction,La Verne,CA,5499,No,1095765.0,2002-12-02
50.0,Swipe Transaction,La Verne,CA,5499,No,825000.0,2002-12-02
71.03,Swipe Transaction,Chicago,IL,5812,No,1171995.0,2002-12-02
78.32,Swipe Transaction,Chicago,IL,5812,No,1292280.0,2002-12-02
127.0,Swipe Transaction,Chicago,IL,3390,No,2095500.0,2002-12-02
211.0,Swipe Transaction,Peoria,IL,3684,No,3481500.0,2002-12-02
18.45,Swipe Transaction,Chicago,IL,5912,No,304425.0,2002-12-03
79.78,Swipe Transaction,Chicago,IL,5812,No,1316370.0,2002-12-03
89.39,Swipe Transaction,Chicago,IL,5812,No,1474935.0,2002-12-04
9.92,Swipe Transaction,Chicago,IL,5411,No,163680.0,2002-12-05
79.83,Swipe Transaction,Chicago,IL,5812,No,1317195.0,2002-12-06
149.45,Swipe Transaction,Peoria,IL,3684,No,2465925.0,2002-12-07
-211.0,Swipe Transaction,Peoria,IL,3684,No,-3481500.0,2002-12-07
173.38,Swipe Transaction,Chicago,IL,3390,No,2860770.0,2002-12-07
-127.0,Swipe Transaction,Chicago,IL,3390,No,-2095500.0,2002-12-07
38.41,Swipe Transaction,La Verne,CA,5411,No,633765.0,2002-12-07
78.97,Swipe Transaction,Mira Loma,CA,5812,No,1303005.0,2002-12-07
113.94,Swipe Transaction,La Verne,CA,5300,No,1880010.0,2002-12-08
47.4,Swipe Transaction,La Verne,CA,5912,No,782100.0,2002-12-08
210.96,Online Transaction,ONLINE,Unknown,4899,No,3480840.0,2002-12-08
73.37,Swipe Transaction,La Verne,CA,5814,No,1210605.0,2002-12-08
134.26,Swipe Transaction,La Verne,CA,5912,No,2215290.0,2002-12-09
128.82,Swipe Transaction,La Verne,CA,5300,No,2125530.0,2002-12-10
128.41,Online Transaction,ONLINE,Unknown,5311,No,2118765.0,2002-12-10
51.23,Swipe Transaction,La Verne,CA,5912,No,845295.0,2002-12-10
141.19,Swipe Transaction,La Verne,CA,5300,No,2329635.0,2002-12-11
177.75,Swipe Transaction,Mira Loma,CA,4814,No,2932875.0,2002-12-11
58.42,Online Transaction,ONLINE,Unknown,4900,No,963930.0,2002-12-11
138.47,Swipe Transaction,Monterey Park,CA,5411,No,2284755.0,2002-12-12
108.9,Swipe Transaction,La Verne,CA,5912,No,1796850.0,2002-12-12
84.72,Swipe Transaction,La Verne,CA,4900,No,1397880.0,2002-12-12
141.32,Swipe Transaction,La Verne,CA,5311,No,2331780.0,2002-12-13
30.8,Swipe Transaction,La Verne,CA,5912,No,508200.0,2002-12-13
55.25,Swipe Transaction,La Verne,CA,5814,No,911625.0,2002-12-13
145.9,Swipe Transaction,Monterey Park,CA,5411,No,2407350.0,2002-12-14
75.31,Swipe Transaction,Mira Loma,CA,5541,No,1242615.0,2002-12-15
50.2,Swipe Transaction,Monterey Park,CA,5411,No,828300.0,2002-12-15
58.1,Swipe Transaction,La Verne,CA,4900,No,958650.0,2002-12-15
121.81,Online Transaction,ONLINE,Unknown,5311,No,2009865.0,2002-12-16
97.31,Online Transaction,ONLINE,Unknown,5311,No,1605615.0,2002-12-16
129.63,Swipe Transaction,Mira Loma,CA,5541,No,2138895.0,2002-12-18
119.46,Swipe Transaction,La Verne,CA,5912,No,1971090.0,2002-12-19
47.73,Swipe Transaction,Monterey Park,CA,5942,No,787545.0,2002-12-19
33.86,Swipe Transaction,Mira Loma,CA,4814,No,558690.0,2002-12-19
123.12,Swipe Transaction,Mira Loma,CA,5541,No,2031480.0,2002-12-20
91.97,Swipe Transaction,Mira Loma,CA,5541,No,1517505.0,2002-12-20
40.06,Swipe Transaction,Monterey Park,CA,5411,No,660990.0,2002-12-21
70.17,Swipe Transaction,La Verne,CA,5814,No,1157805.0,2002-12-21
53.74,Swipe Transaction,Monterey Park,CA,5411,No,886710.0,2002-12-22
105.41,Swipe Transaction,Monterey Park,CA,5411,No,1739265.0,2002-12-23
117.15,Swipe Transaction,La Verne,CA,5300,No,1932975.0,2002-12-23
35.28,Swipe Transaction,Monterey Park,CA,5942,No,582120.0,2002-12-23
44.92,Swipe Transaction,Jefferson City,MO,7538,No,741180.0,2002-12-23
255.0,Swipe Transaction,Waynesville,MO,3640,No,4207500.0,2002-12-23
3.62,Swipe Transaction,Jefferson City,MO,5921,No,59730.0,2002-12-23
94.02,Swipe Transaction,Jefferson City,MO,5812,No,1551330.0,2002-12-23
55.44,Swipe Transaction,Jefferson City,MO,7538,No,914760.0,2002-12-24
9.92,Online Transaction,ONLINE,Unknown,5815,No,163680.0,2002-12-24
76.75,Swipe Transaction,Jefferson City,MO,5812,No,1266375.0,2002-12-24
71.64,Swipe Transaction,Jefferson City,MO,5814,No,1182060.0,2002-12-24
25.01,Swipe Transaction,Jefferson City,MO,5813,No,412665.0,2002-12-24
139.8,Swipe Transaction,Jefferson City,MO,5411,No,2306700.0,2002-12-25
81.36,Swipe Transaction,Jefferson City,MO,5812,No,1342440.0,2002-12-25
-255.0,Swipe Transaction,Waynesville,MO,3640,No,-4207500.0,2002-12-25
147.41,Swipe Transaction,Waynesville,MO,3640,No,2432265.0,2002-12-25
114.15,Swipe Transaction,Monterey Park,CA,5411,No,1883475.0,2002-12-26
38.0,Swipe Transaction,Monterey Park,CA,5411,No,627000.0,2002-12-26
57.25,Swipe Transaction,La Verne,CA,7538,No,944625.0,2002-12-26
123.99,Swipe Transaction,La Verne,CA,5912,No,2045835.0,2002-12-27
37.29,Swipe Transaction,Monterey Park,CA,5942,No,615285.0,2002-12-27
185.16,Swipe Transaction,La Verne,CA,5912,No,3055140.0,2002-12-28
46.3,Swipe Transaction,Monterey Park,CA,5942,No,763950.0,2002-12-28
65.61,Swipe Transaction,Diamond Bar,CA,5719,No,1082565.0,2002-12-28
6.06,Swipe Transaction,Mira Loma,CA,5541,No,99990.0,2002-12-28
9.88,Swipe Transaction,La Verne,CA,5300,No,163020.0,2002-12-28
160.17,Swipe Transaction,La Verne,CA,5311,No,2642805.0,2002-12-29
41.18,Swipe Transaction,La Verne,CA,5912,No,679470.0,2002-12-30
6.19,Swipe Transaction,La Verne,CA,7210,No,102135.0,2002-12-30
73.25,Swipe Transaction,La Verne,CA,5300,No,1208625.0,2002-12-30
42.33,Swipe Transaction,La Verne,CA,5193,No,698445.0,2002-12-31
45.35,Swipe Transaction,La Verne,CA,5912,No,748275.0,2003-01-02
187.21,Swipe Transaction,La Verne,CA,5300,No,3088965.0,2003-01-02
5.63,Swipe Transaction,La Verne,CA,5912,No,92895.0,2003-01-02
123.66,Swipe Transaction,Monterey Park,CA,5411,No,2040390.0,2003-01-03
109.73,Swipe Transaction,Monterey Park,CA,5411,No,1810545.0,2003-01-04
65.5,Swipe Transaction,La Verne,CA,4900,No,1080750.0,2003-01-04
29.55,Swipe Transaction,La Verne,CA,5813,No,487575.0,2003-01-05
126.17,Swipe Transaction,Mira Loma,CA,5541,No,2081805.0,2003-01-06
100.0,Swipe Transaction,Mira Loma,CA,4829,No,1650000.0,2003-01-06
43.99,Swipe Transaction,La Verne,CA,5912,No,725835.0,2003-01-06
157.23,Swipe Transaction,La Verne,CA,5300,No,2594295.0,2003-01-07
46.57,Swipe Transaction,Monterey Park,CA,5942,No,768405.0,2003-01-07
50.18,Swipe Transaction,Monterey Park,CA,5942,No,827970.0,2003-01-07
116.3,Swipe Transaction,La Verne,CA,5300,No,1918950.0,2003-01-08
73.33,Swipe Transaction,La Verne,CA,7538,No,1209945.0,2003-01-08
132.82,Swipe Transaction,Mira Loma,CA,5541,No,2191530.0,2003-01-09
84.0,Swipe Transaction,Mira Loma,CA,5541,No,1386000.0,2003-01-09
-84.0,Swipe Transaction,Mira Loma,CA,5541,No,-1386000.0,2003-01-09
67.52,Swipe Transaction,Mira Loma,CA,5541,No,1114080.0,2003-01-09
36.7,Swipe Transaction,La Verne,CA,5912,No,605550.0,2003-01-10
6.51,Online Transaction,ONLINE,Unknown,5815,No,107415.0,2003-01-10
36.66,Swipe Transaction,La Verne,CA,5411,No,604890.0,2003-01-12
93.42,Swipe Transaction,La Verne,CA,5912,No,1541430.0,2003-01-12
